date,kospi_close,kospi_dividend_yield_ratio,kospi_per,kospi_pbr,kospi_open,kospi_high,kospi_low,kospi_volume,kospi_value,kospi_stock_value,kospi_label
20190806,-1.45230768,1.389225193,-0.652571651,-1.147147461,-1.546726747,-1.370086169,-1.499086233,0.796415896,-0.02149926,-1.49862328,2
20190807,-1.494548313,1.421989477,-0.660609254,-1.237711734,-1.411744187,-1.475712533,-1.446666152,0.883086749,-0.560590319,-1.540179667,2
20190808,-1.435443961,1.389225193,-0.64855285,-1.147147461,-1.406608687,-1.428169689,-1.370710524,0.950123826,-0.143767394,-1.480835526,1
20190809,-1.342503722,1.323696627,-0.628458843,-1.147147461,-1.33211691,-1.378815167,-1.2619656,0.447736382,-0.656763804,-1.385830658,1
20190812,-1.317885946,1.290932344,-0.624440041,-1.056583187,-1.3241704,-1.366462812,-1.277424175,-0.481607991,-0.971291433,-1.359391991,1
20190813,-1.407138941,1.35646091,-0.642524647,-1.147147461,-1.39320233,-1.429651972,-1.329148888,0.47103922,-0.86905107,-1.450965148,2
20190814,-1.339141824,1.323696627,-0.628458843,-1.147147461,-1.29903348,-1.349828306,-1.256135204,0.632788818,-0.649234022,-1.380132168,1
20190816,-1.399872901,1.35646091,-0.640515247,-1.147147461,-1.432502418,-1.48444153,-1.392587884,-0.503937322,-0.888737596,-1.437822913,2
20190819,-1.330845525,1.323696627,-0.626449442,-1.056583187,-1.35060471,-1.399951419,-1.287105843,-0.261214756,-1.0388278,-1.370695405,1
20190820,-1.220499325,1.225403778,-0.602336633,-1.056583187,-1.316277948,-1.284278474,-1.254530507,-0.332456733,-0.931733876,-1.255171174,1
20190821,-1.196640688,1.225403778,-0.598317832,-0.966018914,-1.253678907,-1.246068521,-1.163918653,-0.627114729,-1.02382287,-1.23170558,1
20190822,-1.270602464,1.258168061,-0.612383637,-1.056583187,-1.188647261,-1.263416718,-1.182426151,-0.447150713,-0.942219922,-1.306293678,2
20190823,-1.285297216,1.290932344,-0.616402438,-1.056583187,-1.319359248,-1.340879711,-1.238109114,-0.669985899,-1.120355514,-1.323016963,2
