집계날짜, 집계요일, 구독자수, 구독자수증감 영상조회수, 조회수증감, 순위변동(종합/구독/조회수)
2020-01-09, 목, 32,500,000 () 8,132,219,551 (+5,682,192) 1  / 4  / 3 
2020-01-08, 수, 32,500,000 (+100,000) 8,126,537,359 (+5,373,822) 1  / 4  / 3 
2020-01-07, 화, 32,400,000 () 8,121,163,537 (+5,459,543) 1  / 4  / 3 
2020-01-06, 월, 32,400,000 () 8,115,703,994 (+5,655,263) 1  / 4  / 3 
2020-01-05, 일, 32,400,000 () 8,110,048,731 (+6,680,637) 1  / 4  / 3 
2020-01-04, 토, 32,400,000 () 8,103,368,094 (+6,645,597) 1  / 4  / 
2020-01-03, 금, 32,400,000 (+100,000) 8,096,722,497 (+5,443,889) 1  / 4  / 3 
2020-01-02, 목, 32,300,000 () 8,091,278,608 (+5,615,955) 1  / 4  / 3 
2020-01-01, 수, 32,300,000 () 8,085,662,653 (+7,203,735) 1  / 4  / 3 
2019-12-31, 화, 32,300,000 () 8,078,458,918 (+6,776,371) 1  / 4  / 3 
2019-12-30, 월, 32300000 (+100,000) 8,071,682,547 (+7,655,893) 1  / 4  / 3 
2019-12-29, 일, 32200000 () 8,064,026,654 () 1 NEW / 4 NEW / 3 NEW
