Date,High,Low,Open,Close,Volume,Adj Close,,,Date,High,Low,Open,Close
2018-10-03,180.6600037,173.5339966,179.2599945,176.9499969,1673900,176.9499969,,,2018-10-15,41850,39900,40500,40300
2018-10-04,175.6000061,167.3099976,174.4600067,168.5800018,1955100,168.5800018,,,2018-10-16,42300,40350,40350,42300
2018-10-05,169.8999939,162.2200012,167.9499969,164.3800049,2395600,164.3800049,,,2018-10-17,42500,38700,42050,39450
2018-10-08,165.8999939,156.7299957,162.3099976,163.4700012,1850600,163.4700012,,,2018-10-18,40150,39150,39650,40000
2018-10-09,165.3300018,160.3600006,161.5800018,161.5299988,1214500,161.5299988,,,2018-10-19,41700,39350,39500,41200
2018-10-10,160.6399994,149.0500031,160.6399994,149.4799957,3194000,149.4799957,,,2018-10-22,42150,40550,41000,41750
2018-10-11,153.5800018,146.5,147.1999969,152.2700043,2990500,152.2700043,,,2018-10-23,43750,40700,41750,42700
2018-10-12,161.8600006,155.4400024,157.6000061,158.4900055,2775300,158.4900055,,,2018-10-24,44000,36450,43900,37050
2018-10-15,162.6000061,157.4100037,160.3999939,159.25,1349700,159.25,,,2018-10-25,38850,35750,36550,38000
2018-10-16,165.4900055,156.7299957,160.8600006,164.75,1636000,164.75,,,2018-10-26,38950,35250,38900,36600
2018-10-17,168.1000061,157.4499969,168.0899963,159.2799988,2083700,159.2799988,,,2018-10-29,38050,35450,38050,35950
2018-10-18,158.3000031,149.8300018,157.4600067,152.4900055,2317000,152.4900055,,,2018-10-30,38000,33800,35500,38000
2018-10-19,156.3099976,148.2100067,154.0800018,148.9299927,2018500,148.9299927,,,2018-10-31,38050,36500,38000,36850
2018-10-22,151.8650055,146.5299988,149.5,148.5399933,1426500,148.5399933,,,2018-11-01,38400,36500,37000,37300
2018-10-23,153.6199951,140.3200073,143.6999969,153.25,2404200,153.25,,,2018-11-02,39200,37450,37550,38950
2018-10-24,155,145.7299957,153.9400024,146.3200073,1652400,146.3200073,,,2018-11-05,38650,37250,38650,37550
2018-10-25,152,147.8800049,149,149.6799927,1195600,149.6799927,,,2018-11-06,37950,36050,37950,36850
2018-10-26,149.0500031,141.75,143.75,146.2400055,1326800,146.2400055,,,2018-11-07,37000,34700,36850,35500
2018-10-29,148.7899933,137.0099945,148.7899933,139.1100006,2306700,139.1100006,,,2018-11-08,36150,34800,36150,35700
2018-10-30,142.2299957,131.0099945,137.0500031,141.6799927,3071400,141.6799927,,,2018-11-09,36450,35100,35700,36200
2018-10-31,152.4900055,141.9199982,142.0700073,149.6900024,3165300,149.6900024,,,2018-11-12,38750,36300,36800,38250
2018-11-01,145,133.25,133.3999939,141.1600037,8785800,141.1600037,,,2018-11-13,40200,36000,38300,39850
2018-11-02,143.8800049,137.8800049,140.4100037,138.9900055,2239200,138.9900055,,,2018-11-14,42350,39150,39850,41300
2018-11-05,143.8600006,137.3999939,140.5399933,143.6000061,1952500,143.6000061,,,2018-11-15,43500,41450,41450,42300
2018-11-06,145.3899994,138.1499939,142.7400055,142.6100006,1749700,142.6100006,,,2018-11-16,42700,41000,42500,41550
2018-11-07,147.2700043,142.1600037,144.1999969,145.7700043,2330900,145.7700043,,,2018-11-19,41550,40200,41550,40500
2018-11-08,144.9600067,135.2899933,144.5700073,137,2444100,137,,,2018-11-20,42350,39650,39800,41050
2018-11-09,138.8399963,133.0500031,135.0700073,138.0599976,2571600,138.0599976,,,2018-11-21,41400,39000,40850,40900
2018-11-12,137.4499969,126.75,136.8399963,131.3099976,2657200,131.3099976,,,2018-11-22,41050,39200,41050,39650
2018-11-13,136.0599976,130.5200043,132.2700043,131.6300049,1106300,131.6300049,,,2018-11-23,40050,39050,39250,39150
2018-11-14,136.7400055,132.0299988,134.2599945,134.0099945,1303900,134.0099945,,,2018-11-26,42300,39200,39250,41950
2018-11-15,138.2859955,132.25,132.4799957,136.9600067,1070500,136.9600067,,,2018-11-27,43200,41600,42550,42850
2018-11-16,137.4900055,132.6699982,134.7299957,134.2100067,868500,134.2100067,,,2018-11-28,43800,42450,42950,43200
2018-11-19,134.3899994,125.6999969,133.8899994,126.6999969,1556100,126.6999969,,,2018-11-29,44000,42100,44000,43000
2018-11-20,131.2100067,120.4899979,120.5500031,129.6999969,2463000,129.6999969,,,2018-11-30,43750,42450,43500,43400
2018-11-21,133.6450043,129.4100037,130.7599945,131.9799957,1455600,131.9799957,,,2018-12-03,44000,42700,44000,43650
2018-11-23,133,128.5200043,130.1100006,129.4100037,422200,129.4100037,,,2018-12-04,45350,43050,43500,45300
2018-11-26,138.6000061,130.9600067,131,138,1360400,138,,,2018-12-05,45600,44100,44500,44500
2018-11-27,139.5,134.5399933,136.7100067,138.75,1174000,138.75,,,2018-12-06,45050,41950,45050,43200
2018-11-28,141.3000031,133.0200043,141,138.2400055,1693200,138.2400055,,,2018-12-07,44150,42500,43600,43950
2018-11-29,140.8800049,137,137.0800018,138.9600067,972100,138.9600067,,,2018-12-10,44900,42900,43400,44050
2018-11-30,138.8930054,133.1799927,138.5,136.3800049,1064200,136.3800049,,,2018-12-11,45750,43900,44400,45200
2018-12-03,144.4900055,139.1900024,140.8699951,140.6799927,1489000,140.6799927,,,2018-12-12,45700,44450,45200,45550
2018-12-04,143.9499969,134.1300049,141.0399933,134.5,1600900,134.5,,,2018-12-13,45800,44950,45700,45600
2018-12-06,137.2899933,129.0099945,132,136.8300018,1543500,136.8300018,,,2018-12-14,46700,44400,45800,44750
2018-12-07,139.8000031,133.5800018,136.8899994,135.3099976,1115400,135.3099976,,,2018-12-17,45100,42150,45100,43500
2018-12-10,136.8399963,130.1000061,134.1999969,130.7899933,1464700,130.7899933,,,2018-12-18,43750,42200,42200,43200
2018-12-11,133.8099976,126.4100037,133.8099976,128.3699951,2356300,128.3699951,,,2018-12-19,46800,42600,43200,46400
2018-12-12,133.7799988,128.0299988,130.3000031,128.4700012,1656400,128.4700012,,,2018-12-20,46850,45400,46000,46000
2018-12-13,130.1199951,124.7099991,129.7799988,125.5500031,1171000,125.5500031,,,2018-12-21,46850,45500,45800,46650
2018-12-14,127.4000015,122.2399979,123.8499985,125.6800003,916900,125.6800003,,,2018-12-24,48700,46100,46700,47250
2018-12-17,124.9499969,120,123.5400009,120.4700012,1251100,120.4700012,,,2018-12-26,49000,46450,46450,48950
2018-12-18,122.8600006,119.8939972,120.6299973,120.5100021,1431100,120.5100021,,,2018-12-27,49300,47550,49150,48700
2018-12-19,124.3600006,115.8600006,120.7699966,118.6699982,1768300,118.6699982,,,2018-12-28,48900,46650,48550,47500
2018-12-20,118.9899979,111.8499985,117.5,114.5299988,2299000,114.5299988,,,2019-01-02,47450,45650,47050,45900
2018-12-21,114.3700027,104.0599976,114.1800003,106.8399963,3379000,106.8399963,,,2019-01-03,46750,45450,46200,45550
2018-12-24,110.4100037,103.2900009,104.8000031,107.75,944200,107.75,,,2019-01-04,48900,45450,45650,48900
2018-12-26,114.0599976,106.7750015,108.7399979,114.0400009,1463700,114.0400009,,,2019-01-07,50800,47950,49250,48400
2018-12-27,114.4499969,109.5,112.6600037,113.8199997,1498200,113.8199997,,,2019-01-08,49100,47550,48800,48400
2018-12-28,114.6750031,110.336998,114.0699997,112.1600037,971000,112.1600037,,,2019-01-09,48800,46850,48800,47300
2018-12-31,116.25,112.2699966,114.4199982,113.5,1397500,113.5,,,2019-01-10,48300,46750,47250,48200
2019-01-02,115.6299973,110.3600006,111.6600037,113.7399979,861100,113.7399979,,,2019-01-11,48400,46000,48400,46450
2019-01-03,113.3450012,108.5899963,112.0800018,109.0199966,1082300,109.0199966,,,2019-01-14,47300,45800,46600,46700
2019-01-04,121.4700012,111.5,112.0599976,118.5100021,2484800,118.5100021,,,2019-01-15,48700,46050,46950,48350
2019-01-07,123.8659973,113.2799988,115.0400009,119.3600006,2516200,119.3600006,,,2019-01-16,48600,47400,48550,47600
2019-01-08,122.7699966,114.6999969,121.4400024,117.4800034,1257100,117.4800034,,,2019-01-17,47750,44050,47350,44700
2019-01-09,124.3799973,118.1610031,118.5999985,122.6900024,1276700,122.6900024,,,2019-01-18,45200,43500,44550,44600
2019-01-10,124.9700012,119.5899963,122.3499985,123.9300003,1347100,123.9300003,,,2019-01-21,44950,42400,44950,42800
2019-01-11,124.3600006,118.2900009,123,120.5199966,1414400,120.5199966,,,2019-01-22,43600,41800,42800,43600
2019-01-14,128,118.5699997,120.1999969,126.7099991,2474200,126.7099991,,,2019-01-23,43300,41450,43300,42200
2019-01-15,132.4199982,128.6399994,129.2700043,131.25,2979900,131.25,,,2019-01-24,43600,41950,42600,43100
2019-01-16,134.5599976,130.1499939,132.0200043,134.25,2152200,134.25,,,2019-01-25,43450,42300,42950,42500
2019-01-17,135.3500061,132.5299988,133.0200043,133.25,1372400,133.25,,,2019-01-28,42550,41600,42350,42250
2019-01-18,136,132.5800018,135,133.6600037,1314100,133.6600037,,,2019-01-29,42600,40850,42050,41400
2019-01-22,134.7700043,131.7599945,132.6100006,133.8000031,1255600,133.8000031,,,2019-01-30,41850,40400,41400,40800
2019-01-23,135.5,128.5350037,134.1999969,130.9199982,1159400,130.9199982,,,2019-01-31,44100,40750,41200,43500
2019-01-24,133.5599976,130.1499939,131,132.6999969,708100,132.6999969,,,2019-02-01,43900,42900,43750,43450
2019-01-25,135.6499939,133,134.2799988,134.6699982,997000,134.6699982,,,2019-02-07,46700,43050,43800,45800
2019-01-28,134.4100037,130.8999939,134.0399933,133.25,1512600,133.25,,,2019-02-08,47200,45500,45700,46050
2019-01-29,134.1000061,129.7559967,133.7200012,132.4600067,790900,132.4600067,,,2019-02-11,47450,45600,47000,45600
2019-01-30,137.4900055,133.5500031,133.9700012,136.4700012,1456000,136.4700012,,,2019-02-12,45900,44450,45350,44900
2019-01-31,140.6999969,135.3099976,136.5200043,135.4499969,2173700,135.4499969,,,2019-02-13,45450,44150,45400,44600
2019-02-01,138.7899933,133.4499969,135.1199951,137.2100067,1783500,137.2100067,,,2019-02-14,44800,43200,44300,44450
2019-02-04,141.4100037,137.1999969,137.7400055,138.6000061,1245100,138.6000061,,,2019-02-15,45150,44150,44600,44800
2019-02-05,141,137.6300049,140,139.3999939,1844500,139.3999939,,,2019-02-18,45050,43000,45000,43300
2019-02-06,137.3500061,129.6000061,129.8999939,135.4499969,7575300,135.4499969,,,2019-02-19,43300,42600,43300,43050
2019-02-07,135,128.6999969,134.9700012,131.1900024,2514800,131.1900024,,,2019-02-20,44400,42750,43050,44250
2019-02-08,135.7400055,128.970993,129.5200043,134.7100067,1989900,134.7100067,,,2019-02-21,47300,44350,44350,46900
2019-02-11,138.8999939,136.0899963,136.6499939,137.8200073,3154800,137.8200073,,,2019-02-22,47700,45850,47250,46500
2019-02-12,143.3699951,137.8999939,139,140.4600067,2483300,140.4600067,,,2019-02-25,48100,46500,46500,47500
2019-02-13,144.1300049,141.1100006,142.1300049,143.5399933,2165800,143.5399933,,,2019-02-26,47900,43350,47400,45400
2019-02-14,148.9850006,143,143.25,146.8699951,2943600,146.8699951,,,2019-02-27,45350,43800,44800,44800
2019-02-15,148.6399994,144.6900024,147.9600067,148.5200043,2056100,148.5200043,,,2019-02-28,44650,41600,44650,42050
2019-02-19,149.8049927,145.6499939,148,146.2799988,1223400,146.2799988,,,2019-03-04,42650,40650,42650,41450
2019-02-20,148.6600037,145.6499939,146.5,147.8300018,1230400,147.8300018,,,2019-03-05,42350,40550,41050,40800
2019-02-21,149.8600006,146.6499939,147.5500031,148.5200043,1039500,148.5200043,,,2019-03-06,41950,40550,40650,41700
2019-02-22,152.5700073,148.8000031,149,151.1900024,1961400,151.1900024,,,2019-03-07,42200,40450,41550,40750
2019-02-25,153.4400024,148.5,152,149.3300018,1188700,149.3300018,,,2019-03-08,43350,40350,40500,43250
2019-02-26,147.9400024,142,145.8399963,145.0700073,1587300,145.0700073,,,2019-03-11,42300,36500,41950,37150
2019-02-27,147.6999969,142.8500061,145,145,1830200,145,,,2019-03-12,38700,35250,37350,35900
2019-02-28,146.0149994,139.4100037,145.6499939,140.1399994,2110400,140.1399994,,,2019-03-13,38250,35750,36050,37750
2019-03-01,141,135.2200012,139.2100067,138,3306200,138,,,2019-03-14,37950,36350,37650,37150
