집계날짜,집계요일,구독자수,구독자수증감,영상조회수,조회수증감,,조회수증감,집계날짜,그래프를위한
2020-06-08,월,"36,100,000",0,"9,228,490,371","7,532,901",,"8,702,563",2020-06-09,943.7808414
2020-06-09,화,"36,200,000","100,000","9,237,192,934","8,702,563",,"8,921,604",2020-06-10,966.7457668
2020-06-10,수,"36,200,000",0,"9,246,114,538","8,921,604",,"8,166,974",2020-06-11,884.1402424
2020-06-11,목,"36,300,000","100,000","9,254,281,512","8,166,974",,"9,501,060",2020-06-12,1027.573254
2020-06-12,금,"36,300,000",0,"9,263,782,572","9,501,060",,"12,038,416",2020-06-13,1300.84826
2020-06-13,토,"36,400,000","100,000","9,275,820,988","12,038,416",,"10,810,224",2020-06-14,1166.934124
2020-06-14,일,"36,400,000",0,"9,286,631,212","10,810,224",,"9,347,065",2020-06-15,1007.680615
2020-06-15,월,"36,500,000","100,000","9,295,978,277","9,347,065",,"10,007,466",2020-06-16,1077.620697
2020-06-16,화,"36,500,000",0,"9,305,985,743","10,007,466",,"9,933,988",2020-06-17,1068.632876
2020-06-17,수,"36,600,000","100,000","9,315,919,731","9,933,988",,"20,790,805",2020-06-18,2234.132479
2020-06-18,목,"36,700,000","100,000","9,336,710,536","20,790,805",,"37,280,205",2020-06-19,4001.773961
2020-06-19,금,"36,800,000","100,000","9,373,990,741","37,280,205",,"27,302,511",2020-06-20,2924.21093
2020-06-20,토,"36,900,000","100,000","9,401,293,252","27,302,511",,"24,152,501",2020-06-21,2576.544149
2020-06-21,일,"37,000,000","100,000","9,425,445,753","24,152,501",,"20,126,861",2020-06-22,2140.860886
2020-06-22,월,"37,000,000",0,"9,445,572,614","20,126,861",,"13,950,768",2020-06-23,1480.117584
2020-06-23,화,"37,100,000","100,000","9,459,523,382","13,950,768",,"24,287,692",2020-06-24,2571.330823
2020-06-24,수,"37,200,000","100,000","9,483,811,074","24,287,692",,"20,070,729",2020-06-25,2121.748442
2020-06-25,목,"37,300,000","100,000","9,503,881,803","20,070,729",,"35,455,794",2020-06-26,3738.559712
2020-06-26,금,"38,000,000","700,000","9,539,337,597","35,455,794",,"115,223,268",2020-06-27,12123.81113
2020-06-27,토,"38,900,000","900,000","9,654,560,865","115,223,268",,"57,584,893",2020-06-28,6036.571451
2020-06-28,일,"39,300,000","400,000","9,712,145,758","57,584,893",,"43,400,916",2020-06-29,4495.379604
2020-06-29,월,"39,500,000","200,000","9,755,546,674","43,400,916",,"34,694,634",2020-06-30,3572.29338
2020-06-30,화,"39,700,000","200,000","9,790,241,308","34,694,634",,"29,501,933",2020-07-01,3024.118892
2020-07-01,수,"39,900,000","200,000","9,819,743,241","29,501,933",,"27,102,628",2020-07-02,2768.330948
2020-07-02,목,"40,000,000","100,000","9,846,845,869","27,102,628",,"27,154,626",2020-07-03,2765.309167
2020-07-03,금,"40,200,000","200,000","9,874,000,495","27,154,626",,"29,906,673",2020-07-04,3037.183012
2020-07-04,토,"40,300,000","100,000","9,903,907,168","29,906,673",,"24,753,564",2020-07-05,2506.943767
2020-07-05,일,"40,500,000","200,000","9,928,660,732","24,753,564",,"37,935,705",2020-07-06,3830.377684
2020-07-06,월,"40,600,000","100,000","9,966,596,437","37,935,705",,"36,303,245",2020-07-07,3656.409055
2020-07-07,화,"40,800,000","200,000","10,002,899,682","36,303,245",,"29,813,773",2020-07-08,2991.36954
2020-07-08,수,"41,000,000","200,000","10,032,713,455","29,813,773",,"25,041,590",2020-07-09,2503.433084
2020-07-09,목,"41,100,000","100,000","10,057,755,045","25,041,590",,"25,822,106",2020-07-10,2573.790841
2020-07-10,금,"41,200,000","100,000","10,083,577,151","25,822,106",,"29,352,774",2020-07-11,2918.42204
2020-07-11,토,"41,300,000","100,000","10,112,929,925","29,352,774",,"27,634,324",2020-07-12,2740.527849
2020-07-12,일,"41,400,000","100,000","10,140,564,249","27,634,324",,"26,219,069",2020-07-13,2592.628367
2020-07-13,월,"41,500,000","100,000","10,166,783,318","26,219,069",,"23,707,620",2020-07-14,2337.899491
2020-07-14,화,"41,600,000","100,000","10,190,490,938","23,707,620",,"23,025,060",2020-07-15,2264.734015
2020-07-15,수,"41,700,000","100,000","10,213,515,998","23,025,060",,"22,580,868",2020-07-16,2215.876363
2020-07-16,목,"41,700,000",0,"10,236,096,866","22,580,868",,"21,563,149",2020-07-17,2111.236621
2020-07-17,금,"41,800,000","100,000","10,257,660,015","21,563,149",,"27,543,152",2020-07-18,2690.786572
2020-07-18,토,"41,900,000","100,000","10,285,203,167","27,543,152",,"23,885,628",2020-07-19,2328.564991
2020-07-19,일,"42,000,000","100,000","10,309,088,795","23,885,628",,"21,595,610",2020-07-20,2099.677532
2020-07-20,월,"42,100,000","100,000","10,330,684,405","21,595,610",,"20,328,982",2020-07-21,1971.947512
2020-07-21,화,"42,100,000",0,"10,351,013,387","20,328,982",,"21,481,629",2020-07-22,2079.400373
2020-07-22,수,"42,200,000","100,000","10,372,495,016","21,481,629",,"20,390,338",2020-07-23,1969.888091
2020-07-23,목,"42,300,000","100,000","10,392,885,354","20,390,338",,"21,154,762",2020-07-24,2039.505632
2020-07-24,금,"42,400,000","100,000","10,414,040,116","21,154,762",,"22,857,588",2020-07-25,2199.349576
2020-07-25,토,"42,500,000","100,000","10,436,897,704","22,857,588",,"20,869,397",2020-07-26,2003.96741
2020-07-26,일,"42,500,000",0,"10,457,767,101","20,869,397",,"20,259,699",2020-07-27,1941.161021
2020-07-27,월,"42,600,000","100,000","10,478,026,800","20,259,699",,"19,936,644",2020-07-28,1906.395869
2020-07-28,화,"42,700,000","100,000","10,497,963,444","19,936,644",,"21,486,970",2020-07-29,2050.669502
2020-07-29,수,"42,800,000","100,000","10,519,450,414","21,486,970",,"18,728,312",2020-07-30,1783.994781
2020-07-30,목,"42,800,000",0,"10,538,178,726","18,728,312",,"19,818,272",2020-07-31,1883.964582
2020-07-31,금,"42,900,000","100,000","10,557,996,998","19,818,272",,"21,638,587",2020-08-01,2053.351681
2020-08-01,토,"43,000,000","100,000","10,579,635,585","21,638,587",,"20,197,584",2020-08-02,1913.012857
2020-08-02,일,"43,000,000",0,"10,599,833,169","20,197,584",,"20,330,720",2020-08-03,1921.684337
2020-08-03,월,"43,100,000","100,000","10,620,163,889","20,330,720",,"19,388,366",2020-08-04,1829.11992
2020-08-04,화,"43,200,000","100,000","10,639,552,255","19,388,366",,"19,266,419",2020-08-05,1814.135752
2020-08-05,수,"43,200,000",0,"10,658,818,674","19,266,419",,"18,455,634",2020-08-06,1734.625063
2020-08-06,목,"43,300,000","100,000","10,677,274,308","18,455,634",,"19,006,677",2020-08-07,1783.187948
2020-08-07,금,"43,400,000","100,000","10,696,280,985","19,006,677",,"23,666,044",2020-08-08,2216.487403
2020-08-08,토,"43,400,000",0,"10,719,947,029","23,666,044",,"26,151,901",2020-08-09,2444.952693
2020-08-09,일,"43,500,000","100,000","10,746,098,930","26,151,901",,"19,362,991",2020-08-10,1806.258086
2020-08-10,월,"43,600,000","100,000","10,765,461,921","19,362,991",,"19,306,201",2020-08-11,1796.577635
2020-08-11,화,"43,700,000","100,000","10,784,768,122","19,306,201",,"18,266,107",2020-08-12,1696.732303
2020-08-12,수,"43,700,000",0,"10,803,034,229","18,266,107",,"19,378,084",2020-08-13,1796.801172
2020-08-13,목,"43,800,000","100,000","10,822,412,313","19,378,084",,"19,126,670",2020-08-14,1770.490549
2020-08-14,금,"43,900,000","100,000","10,841,538,983","19,126,670",,"22,842,320",2020-08-15,2110.64958
2020-08-15,토,"43,900,000",0,"10,864,381,303","22,842,320",,"19,746,782",2020-08-16,1821.400267
2020-08-16,일,"44,000,000","100,000","10,884,128,085","19,746,782",,"17,751,967",2020-08-17,1633.960233
2020-08-17,월,"44,100,000","100,000","10,901,880,052","17,751,967",,"17,600,891",2020-08-18,1617.115387
2020-08-18,화,"44,100,000",0,"10,919,480,943","17,600,891",,"18,032,643",2020-08-19,1654.085618
2020-08-19,수,"44,200,000","100,000","10,937,513,586","18,032,643",,"17,701,325",2020-08-20,1621.077512
2020-08-20,목,"44,300,000","100,000","10,955,214,911","17,701,325",,"17,798,180",2020-08-21,1627.26015
2020-08-21,금,"44,300,000",0,"10,973,013,091","17,798,180",,"21,773,337",2020-08-22,1987.486067
2020-08-22,토,"44,400,000","100,000","10,994,786,428","21,773,337",,"19,761,293",2020-08-23,1800.899428
2020-08-23,일,"44,500,000","100,000","11,014,547,721","19,761,293",,"22,531,023",2020-08-24,2049.246081
2020-08-24,월,"44,600,000","100,000",11037078744,"22,531,023",,,,
